id_juego,keyword
71,Líder
71,Team Building
71,Leadership
72,Ágil
72,Entrenamiento
72,Agile
72,Coaching
73,Scrum
73,Trabajo En Equipo
73,Team Building
74,Ágil
74,LEGO
74,Cascada
74,Agile
74,Waterfall
75,Scrum
75,Trabajo En Equipo
75,Software
75,Team Building
76,Abecedario
76,Multitarea
76,Wip
76,Ágil
76,Alphabet
76,Multitask
76,Agile
77,Cascada
77,Ágil
77,Lean
77,Waterfall
77,Agile
78,Principios
78,Kanban
78,Trabajo En Equipo
78,Principles
78,Team Building
79,Cascada
79,Trabajo En Equipo
79,Scrum
79,Posits
79,Waterfall
79,Team Building
80,Equipo
80,Habilidad
80,Defecto
80,Team
80,Skills
80,Default
81,Trabajo En Equipo
81,Equipo
81,Scrum
81,Ágil
81,Team Building
81,Team
81,Agile
82,Matriz-X
82,Puzle
82,X-Matrix
82,Puzzle
83,Cultura Del Fallo
83,Memoria
83,Failure Culture
83,Memory
84,Interesados
84,Propietario Del Producto
84,Gestión
84,Stakeholders
84,Product Owner
84,Management
85,Desarrollo Del Producto
85,Pila Del Producto
85,Trabajo En Equipo
85,Product Development
85,Product Backlog
85,Team Building
86,Minecraft
86,Scrum
86,Simulación
86,Simulation
87,Trabajo En Equipo
87,Estimación
87,Wip
87,Team Building
87,Estimation
88,Ágil
88,Metodología
88,Trabajo En Equipo
88,Agile
88,Methodology
88,Team Building
89,Trabajo En Equipo
89,Propietario Del Producto
89,Stephen
89,Covey
89,Matriz
89,Team Building
89,Product Owner
89,Matrix
90,Cascada
90,Ágil
90,Trabajo En Equipo
90,Tradicional
90,Waterfall
90,Agile
90,Team Building
90,Traditional
91,Ágil
91,Bloques
91,Retroalimentación
91,Agile
91,Blocks
91,Feedback
92,Incertidumbre
92,Ambigüedad
92,Cartas
92,Desafío
92,Uncertainty
92,Ambiguity
92,Cards
92,Challenge
93,Scrum
93,Stand-Up
93,Simulación
93,Simulation
94,Equipo
94,Práctica
94,Team
94,Practice
95,Ágil
95,Verbal
95,Juego
95,Agile
95,Game
96,Scrum
96,Ágil
96,LEGO
96,Mapas De Historia
96,Agile
96,Story Maps
97,Scrum
97,Sandwich
97,Ágil
97,Retrospectiva
97,Agile
97,Retrospective
98,Equipo
98,Brainwriting
98,Ágil
98,Brainstorming
98,Team
98,Agile
98,Tormenta De Ideas
99,Scrum
99,Retrospectiva
99,Retrospective
100,Scrum
100,Acciones Smart
100,Equipo
100,Smart Actions
100,Team
101,Scrum
101,Ágil
101,Equipo
101,DAFO
101,Agile
101,Team
102,Kanban
102,Trabajo En Equipo
102,Tablero
102,Team Building
102,Board
103,Software
103,Ágil
103,Gestión
103,Empresa
103,Agile
103,Management
103,Business
104,Scrum
104,Pila De Producto
104,Revista
104,Trabajo En Equipo
104,Product Backlog
104,Magazine
104,Tema Building
105,Got
105,Juego De Tronos
105,Gestión De Proyectos
105,Game Of Thrones
105,Project Management
106,Gantt
106,Gestión De Proyectos
106,Online
106,Project Management
107,Gestión De Proyectos
107,F1
107,Project Management
108,Software
108,Gestión De Proyectos
108,Online
108,Project Management
109,Gestión De Proyectos
109,Riesgos
109,Tablero
109,Juego
109,Project Management
109,Risk
109,Board
109,Game
110,Retrospective
110,Cards
110,Scrum
110,Retrospectiva
110,Cartas
111,Equipo
111,Trabajo En Equipo
111,Tablero
111,Team
111,Team Building
111,Board
112,Trabajo En Equipo
112,Oscar
112,Roles Grupales
112,Team Building
112,Group Roles
113,Satisfacción
113,Motivación
113,Cielo
113,Infierno
113,Lugar De Trabajo
113,Satisfaction
113,Motivation
113,Heaven
113,Hill
113,Workplace
114,Proyecto
114,Éxito
114,Interesados
114,Ágil
114,Project
114,Success
114,Stakeholders
114,Agile
115,Ágil
115,Cuatro
115,Valores
115,Agile
115,Four
115,Value
116,Hecho
116,Proyecto
116,Definición
116,Done
116,Project
116,Definition
117,Kanban
117,Wip
117,Lean
117,Ágil
117,Agile
118,Obstáculos
118,Resultados
118,Lenguaje Limpio
118,Obstacles
118,Outcomes
118,Clean Language
119,Retrospectiva
119,Cohete
119,Retrospective
119,Rocket
120,LEGO
120,Flujo
120,Kanban
120,Cascada
120,Scrum
120,Flow
120,Waterfall
121,Riesgos
121,Gestión
121,Proyecto
121,Risk
121,Management
121,Project
